EMC_ID,AC,LABEL_INT_EN,LABEL_INT_FR,LABEL_EXT_EN,LABEL_EXT_FR
900065,T.1.Pu.Ag30t39,"Education staff in ISCED 1, Public, initial education, Aged 30 to 39 years",,,
900066,T.1.Pu.Ag40t49,"Education staff in ISCED 1, Public, initial education, Aged 40 to 49 years",,,
900067,T.1.Pu.Ag50t59,"Education staff in ISCED 1, Public, initial education, Aged 50 to 59 years",,,
900068,T.1.Pu.Ag60p,"Education staff in ISCED 1, Public, initial education, Aged 60 or more years",,,
900069,T.1.Pu.Aguk,"Education staff in ISCED 1, Public, initial education, Age no specified",,,
900070,T.1.Pr.Ag20m,"Education staff in ISCED 1, Private, initial education, Aged less than 20 years",,,
900071,T.1.Pr.Ag20t29,"Education staff in ISCED 1, Private, initial education, Aged 20 to 29 years",,,
900072,T.1.Pr.Ag30t39,"Education staff in ISCED 1, Private, initial education, Aged 30 to 39 years",,,
900073,T.1.Pr.Ag40t49,"Education staff in ISCED 1, Private, initial education, Aged 40 to 49 years",,,
900074,T.1.Pr.Ag50t59,"Education staff in ISCED 1, Private, initial education, Aged 50 to 59 years",,,
900075,T.1.Pr.Ag60p,"Education staff in ISCED 1, Private, initial education, Aged 60 or more years",,,
900076,T.1.Pr.Aguk,"Education staff in ISCED 1, Private, initial education, Age no specified",,,
900077,T.1.Ag20m,"Education staff in ISCED 1, initial education, Aged less than 20 years",,,
900078,T.1.Ag20t29,"Education staff in ISCED 1, initial education, Aged 20 to 29 years",,,
900079,T.1.Ag30t39,"Education staff in ISCED 1, initial education, Aged 30 to 39 years",,,
900080,T.1.Ag40t49,"Education staff in ISCED 1, initial education, Aged 40 to 49 years",,,
900081,T.1.Ag50t59,"Education staff in ISCED 1, initial education, Aged 50 to 59 years",,,
900082,T.1.Ag60p,"Education staff in ISCED 1, initial education, Aged 60 or more years",,,
900083,T.1.Aguk,"Education staff in ISCED 1, initial education, Age no specified",,,
900084,T.2.GPV.Pu.Math,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, teaching math",,,
900085,T.2.GPV.Pu.Read,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, teaching reading",,,
900086,T.2.GPV.Pr.Math,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, teaching math",,,
900087,T.2.GPV.Pr.Read,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, teaching reading",,,
900088,T.2.GPV.Math,"Education staff in ISCED 2, General&Pre-Voc, initial education, teaching math",,,
900089,T.2.GPV.Read,"Education staff in ISCED 2, General&Pre-Voc, initial education, teaching reading",,,
900090,T.2.GPV.Pu.Perm,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Permanent contract",,,
900091,T.2.GPV.Pu.Fix,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, non-Permanent contract",,,
900092,T.2.GPV.Pu.uk,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, unknown contract",,,
900093,T.2.GPV.Pr.Perm,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Permanent contract",,,
900094,T.2.GPV.Pr.Fix,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, non-Permanent contract",,,
900095,T.2.GPV.Pr.uk,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, unknown contract",,,
900096,T.2.GPV.Pu.EA.2m,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained ISCED 2 or less",,,
900097,T.2.GPV.Pu.EA.3,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 3",,,
900098,T.2.GPV.Pu.EA.4,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained ISCED 4",,,
900099,T.2.GPV.Pu.EA.5,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained ISCED 5",,,
900100,T.2.GPV.Pu.EA.6,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained ISCED 6",,,
900101,T.2.GPV.Pu.EA.7,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained ISCED 7",,,
900102,T.2.GPV.Pu.EA.8,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained ISCED 8",,,
900103,T.2.GPV.Pu.EA.uk,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Education attained not specified",,,
900104,T.2.GPV.Pr.EA.2m,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained ISCED 2 or less",,,
900105,T.2.GPV.Pr.EA.3,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 3",,,
900106,T.2.GPV.Pr.EA.4,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained ISCED 4",,,
900107,T.2.GPV.Pr.EA.5,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained ISCED 5",,,
900108,T.2.GPV.Pr.EA.6,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained ISCED 6",,,
900109,T.2.GPV.Pr.EA.7,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained ISCED 7",,,
900110,T.2.GPV.Pr.EA.8,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained ISCED 8",,,
900111,T.2.GPV.Pr.EA.uk,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Education attained not specified",,,
900112,T.2.GPV.EA.2m,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained ISCED 2 or less",,,
900113,T.2.GPV.EA.3,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 3",,,
900114,T.2.GPV.EA.4,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained ISCED 4",,,
900115,T.2.GPV.EA.5,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained ISCED 5",,,
900116,T.2.GPV.EA.6,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained ISCED 6",,,
900117,T.2.GPV.EA.7,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained ISCED 7",,,
900118,T.2.GPV.EA.8,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained ISCED 8",,,
900119,T.2.GPV.EA.uk,"Education staff in ISCED 2, General&Pre-Voc, initial education, Education attained not specified",,,
900120,NT.2.GPV.Pu,"Newly recruited teachers in ISCED 2, General&Pre-Voc, Public, initial education",,,
900121,NT.2.GPV.Pu.trained,"Newly recruited teachers in ISCED 2, General&Pre-Voc, Public, initial education, Trained teacher",,,
900122,T.2.GPV.Pu.Exp1t2,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Teaching experience of 1 to 2 years",,,
900123,T.2.GPV.Pu.Exp3t5,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Teaching experience of 3 to 5 years",,,
900124,T.2.GPV.Pu.Exp6t10,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Teaching experience of 6 to 10 years",,,
900125,T.2.GPV.Pu.Exp11t15,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Teaching experience of 11 to 15 years",,,
900126,T.2.GPV.Pu.Exp15p,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Teaching experience of more than 15 years",,,
900127,T.2.GPV.Pu.Expuk,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Teaching experience not specified",,,
900128,NT.2.GPV.Pr,"Newly recruited teachers in ISCED 2, General&Pre-Voc, Private, initial education",,,
900129,NT.2.GPV.Pr.trained,"Newly recruited teachers in ISCED 2, General&Pre-Voc, Private, initial education, Trained teacher",,,
900130,T.2.GPV.Pr.Exp1t2,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Teaching experience of 1 to 2 years",,,
900131,T.2.GPV.Pr.Exp3t5,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Teaching experience of 3 to 5 years",,,
900132,T.2.GPV.Pr.Exp6t10,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Teaching experience of 6 to 10 years",,,
900133,T.2.GPV.Pr.Exp11t15,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Teaching experience of 11 to 15 years",,,
900134,T.2.GPV.Pr.Exp15p,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Teaching experience of more than 15 years",,,
900135,T.2.GPV.Pr.Expuk,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Teaching experience not specified",,,
900136,NT.2.GPV,"Newly recruited teachers in ISCED 2, General&Pre-Voc, initial education",,,
900137,NT.2.GPV.trained,"Newly recruited teachers in ISCED 2, General&Pre-Voc, initial education, Trained teacher",,,
900138,T.2.GPV.Exp1t2,"Education staff in ISCED 2, General&Pre-Voc, initial education, Teaching experience of 1 to 2 years",,,
900139,T.2.GPV.Exp3t5,"Education staff in ISCED 2, General&Pre-Voc, initial education, Teaching experience of 3 to 5 years",,,
900140,T.2.GPV.Exp6t10,"Education staff in ISCED 2, General&Pre-Voc, initial education, Teaching experience of 6 to 10 years",,,
900141,T.2.GPV.Exp11t15,"Education staff in ISCED 2, General&Pre-Voc, initial education, Teaching experience of 11 to 15 years",,,
900142,T.2.GPV.Exp15p,"Education staff in ISCED 2, General&Pre-Voc, initial education, Teaching experience of more than 15 years",,,
900143,T.2.GPV.Expuk,"Education staff in ISCED 2, General&Pre-Voc, initial education, Teaching experience not specified",,,
900144,T.2.GPV.Pu.Ag20m,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged less than 20 years",,,
900145,T.2.GPV.Pu.Ag20t29,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged 20 to 29 years",,,
900146,T.2.GPV.Pu.Ag30t39,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged 30 to 39 years",,,
900147,T.2.GPV.Pu.Ag40t49,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged 40 to 49 years",,,
900148,T.2.GPV.Pu.Ag50t59,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged 50 to 59 years",,,
900149,T.2.GPV.Pu.Ag60p,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged 60 or more years",,,
900150,T.2.GPV.Pu.Aguk,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Age no specified",,,
900151,T.2.GPV.Pr.Ag20m,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged less than 20 years",,,
900152,T.2.GPV.Pr.Ag20t29,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 20 to 29 years",,,
900153,T.2.GPV.Pr.Ag30t39,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 30 to 39 years",,,
900154,T.2.GPV.Pr.Ag40t49,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 40 to 49 years",,,
900155,T.2.GPV.Pr.Ag50t59,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 50 to 59 years",,,
900156,T.2.GPV.Pr.Ag60p,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 60 or more years",,,
900157,T.2.GPV.Pr.Aguk,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Age no specified",,,
900158,T.2.GPV.Ag20m,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged less than 20 years",,,
900159,T.2.GPV.Ag20t29,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 20 to 29 years",,,
900160,T.2.GPV.Ag30t39,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 30 to 39 years",,,
900161,T.2.GPV.Ag40t49,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 40 to 49 years",,,
900162,T.2.GPV.Ag50t59,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 50 to 59 years",,,
900163,T.2.GPV.Ag60p,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 60 or more years",,,
900164,T.2.GPV.Aguk,"Education staff in ISCED 2, General&Pre-Voc, initial education, Age no specified",,,
900165,T.3.GPV.Pu.Math,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, teaching math",,,
900166,T.3.GPV.Pu.Read,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, teaching reading",,,
900167,T.3.GPV.Pr.Math,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, teaching math",,,
900168,T.3.GPV.Pr.Read,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, teaching reading",,,
900169,T.3.GPV.Math,"Education staff in ISCED 3, General&Pre-Voc, initial education, teaching math",,,
