AC,LABEL_INT_EN
T.1.Pu.EA.5,"Education staff in ISCED 1, Public, initial education, Education attained ISCED 5"
T.1.Pu.EA.6,"Education staff in ISCED 1, Public, initial education, Education attained ISCED 6"
T.1.Pu.EA.7,"Education staff in ISCED 1, Public, initial education, Education attained ISCED 7"
T.1.Pu.EA.8,"Education staff in ISCED 1, Public, initial education, Education attained ISCED 8"
T.1.Pu.EA.uk,"Education staff in ISCED 1, Public, initial education, Education attained not specified"
T.1.Pr.EA.2m,"Education staff in ISCED 1in ISCED 2, Private, initial education, Education attained ISCED 2 or less"
T.1.Pr.EA.3,"Education staff in ISCED 1in ISCED 3, Private, initial education, Education attained ISCED 3"
T.1.Pr.EA.4,"Education staff in ISCED 1, Private, initial education, Education attained ISCED 4"
T.1.Pr.EA.5,"Education staff in ISCED 1, Private, initial education, Education attained ISCED 5"
T.1.Pr.EA.6,"Education staff in ISCED 1, Private, initial education, Education attained ISCED 6"
T.1.Pr.EA.7,"Education staff in ISCED 1, Private, initial education, Education attained ISCED 7"
T.1.Pr.EA.8,"Education staff in ISCED 1, Private, initial education, Education attained ISCED 8"
T.1.Pr.EA.uk,"Education staff in ISCED 1, Private, initial education, Education attained not specified"
T.1.EA.2m,"Education staff in ISCED 1in ISCED 2, initial education, Education attained ISCED 2 or less"
T.1.EA.3,"Education staff in ISCED 1in ISCED 3, initial education, Education attained ISCED 3"
T.1.EA.4,"Education staff in ISCED 1, initial education, Education attained ISCED 4"
T.1.EA.5,"Education staff in ISCED 1, initial education, Education attained ISCED 5"
T.1.EA.6,"Education staff in ISCED 1, initial education, Education attained ISCED 6"
T.1.EA.7,"Education staff in ISCED 1, initial education, Education attained ISCED 7"
T.1.EA.8,"Education staff in ISCED 1, initial education, Education attained ISCED 8"
T.1.EA.uk,"Education staff in ISCED 1, initial education, Education attained not specified"
NT.1.Pu,"Newly recruited teachers in ISCED 1, Public, initial education"
NT.1.Pu.trained,"Newly recruited teachers in ISCED 1, Public, initial education, Trained teacher"
T.1.Pu.Exp1t2,"Education staff in ISCED 1, Public, initial education, Teaching experience of 1 to 2 years"
T.1.Pu.Exp3t5,"Education staff in ISCED 1, Public, initial education, Teaching experience of 3 to 5 years"
T.1.Pu.Exp6t10,"Education staff in ISCED 1, Public, initial education, Teaching experience of 6 to 10 years"
T.1.Pu.Exp11t15,"Education staff in ISCED 1, Public, initial education, Teaching experience of 11 to 15 years"
T.1.Pu.Exp15p,"Education staff in ISCED 1, Public, initial education, Teaching experience of more than 15 years"
T.1.Pu.Expuk,"Education staff in ISCED 1, Public, initial education, Teaching experience not specified"
NT.1.Pr,"Newly recruited teachers in ISCED 1, Private, initial education"
NT.1.Pr.trained,"Newly recruited teachers in ISCED 1, Private, initial education, Trained teacher"
T.1.Pr.Exp1t2,"Education staff in ISCED 1, Private, initial education, Teaching experience of 1 to 2 years"
T.1.Pr.Exp3t5,"Education staff in ISCED 1, Private, initial education, Teaching experience of 3 to 5 years"
T.1.Pr.Exp6t10,"Education staff in ISCED 1, Private, initial education, Teaching experience of 6 to 10 years"
T.1.Pr.Exp11t15,"Education staff in ISCED 1, Private, initial education, Teaching experience of 11 to 15 years"
T.1.Pr.Exp15p,"Education staff in ISCED 1, Private, initial education, Teaching experience of more than 15 years"
T.1.Pr.Expuk,"Education staff in ISCED 1, Private, initial education, Teaching experience not specified"
NT.1,"Newly recruited teachers in ISCED 1, initial education"
NT.1.trained,"Newly recruited teachers in ISCED 1, initial education, Trained teacher"
T.1.Exp1t2,"Education staff in ISCED 1, initial education, Teaching experience of 1 to 2 years"
T.1.Exp3t5,"Education staff in ISCED 1, initial education, Teaching experience of 3 to 5 years"
T.1.Exp6t10,"Education staff in ISCED 1, initial education, Teaching experience of 6 to 10 years"
T.1.Exp11t15,"Education staff in ISCED 1, initial education, Teaching experience of 11 to 15 years"
T.1.Exp15p,"Education staff in ISCED 1, initial education, Teaching experience of more than 15 years"
T.1.Expuk,"Education staff in ISCED 1, initial education, Teaching experience not specified"
T.1.Pu.Ag20m,"Education staff in ISCED 1, Public, initial education, Aged less than 20 years"
T.1.Pu.Ag20t29,"Education staff in ISCED 1, Public, initial education, Aged 20 to 29 years"
T.1.Pu.Ag30t39,"Education staff in ISCED 1, Public, initial education, Aged 30 to 39 years"
T.1.Pu.Ag40t49,"Education staff in ISCED 1, Public, initial education, Aged 40 to 49 years"
T.1.Pu.Ag50t59,"Education staff in ISCED 1, Public, initial education, Aged 50 to 59 years"
T.1.Pu.Ag60p,"Education staff in ISCED 1, Public, initial education, Aged 60 or more years"
T.1.Pu.Aguk,"Education staff in ISCED 1, Public, initial education, Age no specified"
T.1.Pr.Ag20m,"Education staff in ISCED 1, Private, initial education, Aged less than 20 years"
